date,id,child_of,view_url,view_name,author,text
2013/10/18 10:54:04,252,,https://data.cityofnewyork.us/_/_/u6gg-xejf,Vacant Lots Cleaned,Eric,Are there plans to update this dataset at some point?
2014/10/05 20:57:28,253,,https://data.cityofnewyork.us/_/_/u6gg-xejf,Vacant Lots Cleaned,andrew F,Is this only for the month of january 2012? Anyway to extend this temporally? 
2014/10/21 15:54:07,254,,https://data.cityofnewyork.us/_/_/u6gg-xejf,Vacant Lots Cleaned,NYC OpenData,We apologize for the delayed response. \n@Arnaud Sahuguet: CCU means Central Corresponding Unit. \nYou can read more about it on Page 29 of the following document:\nhttp://www.nyc.gov/html/dsny/downloads/pdf/pubinfo/annual/ar2013.pdf\n@Eric and @andrew F: We will work with the appropriate agency  to maintain this data going forward. 
2015/04/27 08:42:17,255,,https://data.cityofnewyork.us/_/_/ncbg-6agr,DOF Parking Violation Codes,H2oboxer,The information contained in this data set does not match what is provided on the DOF website. When will this file be updated?
2014/05/07 15:18:32,256,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Todd Goldman,It would be great if this dataset could be tagged by NYPD precinct as well
2014/05/07 22:27:53,257,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,James W,You can intersect the data yourself using the city's other open datasets: https://nycopendata.socrata.com/Public-Safety/Police-Precincts/78dh-3ptz
2014/05/08 00:09:43,258,257,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Stephen Miller,"There's a problem with that, though: Let's say a crash occurs on a street that forms the border between two precincts. Which precinct is it assigned to? The shapefiles likely won't help there. NYPD knows which precinct has jurisdiction, but it's not obvious to the public. - crossposted from http://goo.gl/VBhFAC"
2014/05/08 08:58:23,259,257,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Todd Goldman,"Another problem is that there are many records that are not geocoded. Our ability to draw valid statistical comparisons over time is eroded if it is reliant on the skill and effort NYPD applies to geocoding the data, which may vary over time, and by precinct. Instead of making us guess, they should just add info on the precinct handling each incident."
2014/05/08 15:21:42,260,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Nathan R,Does anybody know how to use the lat/long GPS coordinate columns as locations for a map view? I can't view this data on a map right now because the lat/long columns aren't recognized as a location column for map view.
2014/05/13 21:37:58,261,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Richard Robbins,"I looked at data for Manhattan CB7. 1/2 (68 of 143) of the crashes causing injuries/deaths have ""unspecified"" as the contributing cause of crash. This would be much more helpful if it had better data for every crash.\n\nAlso, it would be more helpful if it identified type of vehicle (private car, taxi, bike, etc.) involved in the crash."
2014/05/26 19:34:11,262,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Christine Berthet,do you know how to export all of last year? when I export without filteringit gives me only the current month . not easy to do pivot tables \n
2015/01/02 13:35:15,263,262,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Jon Ivy,"At most, the system can spit out 50,000 records at a time (which is about 3.5 months of data).  You can use this URL to download a specific timeframe by specifying the date range with YYYY-MM-DD formatting:  I suggest downloading a quarter at a time:\n\nhttps://data.cityofnewyork.us/resource/h9gi-nx95.csv?$order=date&$limit=50000&$where=date>='2014-01-01T00:00:00' AND date < '2014-04-01T00:00:00'"
2014/10/25 22:47:05,264,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,NYC OpenData,"We apologize for the late response.\n\n@ Christine - You'll need to create a filtered view of the data you want, save that view, and do an export on that view.\n\n@ Nathan R - You can create a mapped view using the visualize tab, with the Location column being the basis of your map."
2014/11/12 20:01:35,265,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,gmculp,Community organizations using the SODA API endpoint would likely welcome the addition of a community board field.
